"horizon","inflation","shadow_rate","real_rate"
77,5.22246744897724e-05,0.00979459463773324,0.00974236996324346
78,5.00537002388377e-05,0.00938743436423206,0.00933738066399323
79,4.79729731604667e-05,0.00899719970066667,0.0089492267275062
80,4.59787416890545e-05,0.00862318705120431,0.00857720830951525
81,4.40674102112159e-05,0.00826472206841732,0.00822065465820611
82,4.22355325828579e-05,0.00792115843743002,0.00787892290484716
83,4.04798059157498e-05,0.0075918767106084,0.00755139690469265
84,3.87970646223882e-05,0.00727628319069175,0.00723748612606936
85,3.71842747084167e-05,0.00697380886035232,0.0069366245856439
86,3.56385283023103e-05,0.00668390835625309,0.00664826982795078
87,3.4157038412462e-05,0.00640605898575387,0.00637190194734141
88,3.27371339022156e-05,0.00613975978449277,0.00610702265059055
89,3.13762546737871e-05,0.00588453061314397,0.00585315435847019
90,3.00719470523903e-05,0.00563991129172317,0.00560983934467078
91,2.88218593622435e-05,0.00540546076987981,0.00537663891051757
92,2.76237376864811e-05,0.00518075633168022,0.00515313259399374
93,2.64754218033262e-05,0.00496539283344786,0.00493891741164453
94,2.53748412911948e-05,0.00475898197328636,0.00473360713199516
95,2.43200117957117e-05,0.00456115159096855,0.00453683157917283
96,2.33090314519051e-05,0.00437154499692892,0.00434823596547701
97,2.23400774551314e-05,0.00418982032914987,0.00416748025169473
98,2.14114027745447e-05,0.00401564993678205,0.0039942385340075
99,2.05213330031888e-05,0.00384871978938762,0.00382819845638444
100,1.96682633390293e-05,0.00368872891074118,0.00366906064740215
101,1.88506556914843e-05,0.00353538883616746,0.00351653818047598
102,1.80670359082362e-05,0.00338842309243758,0.00337035605652934
103,1.73159911173252e-05,0.00324756669928581,0.00323025070816848
104,1.65961671797307e-05,0.00311256569164832,0.00309596952446859
105,1.59062662478494e-05,0.0029831766617624,0.00296727039551455
106,1.52450444254671e-05,0.00285916632030055,0.00284392127587508
107,1.46113095250048e-05,0.00274031107574818,0.00272569976622317
