"date","3m","60m","120m"
1976-08-01,-0.0562131272640117,0.06117239071992,0.0870897485442773
1976-09-01,-0.0562351903638171,0.0608878527592162,0.0869236702688942
1976-10-01,-0.0562946889733008,0.060574499806813,0.0871094376028217
1976-11-01,-0.0565261998983031,0.0598648256445539,0.0862916258651526
1976-12-01,-0.0574797289768533,0.0566512624207364,0.0819996341746902
1977-01-01,-0.0570745391402472,0.0581376742216665,0.0831544860901559
1977-02-01,-0.0568724776545653,0.0592652422703703,0.0846767150667732
1977-03-01,-0.0569561571414023,0.0597358413569266,0.0855485654152875
1977-04-01,-0.0570230815254934,0.0595130599402425,0.0854888154681711
1977-05-01,-0.0563579931270444,0.0602097022548309,0.0860712269447506
1977-06-01,-0.0562966279653342,0.0593822778509218,0.084934031219922
1977-07-01,-0.0561169421456806,0.059509345871457,0.0848471142343483
1977-08-01,-0.0559036130705971,0.0591176649671223,0.0834230578934505
1977-09-01,-0.0556630965305834,0.0588609413874701,0.0828227865996695
1977-10-01,-0.0554033801781834,0.059562259291834,0.0832595024493782
1977-11-01,-0.0554265412133609,0.0598472520748838,0.0837470149670691
1977-12-01,-0.0554176574294408,0.0607557604767686,0.0853647214471666
1978-01-01,-0.0551248629944641,0.062452180242104,0.0880367278877529
1978-02-01,-0.0551053584457005,0.0629016542036846,0.0888509690152811
1978-03-01,-0.0551961787350185,0.0626664219952454,0.088378168250366
1978-04-01,-0.0552226054286131,0.0626020228757433,0.0879156768604006
1978-05-01,-0.0551707885494324,0.062636112096113,0.0875117671069021
1978-06-01,-0.0550080713347044,0.063340996858134,0.0885884380074375
1978-07-01,-0.0548987734311209,0.0640759933551351,0.0897680776440626
1978-08-01,-0.0549031356160768,0.063056335935555,0.0880414747288329
1978-09-01,-0.0547171238113572,0.06366633469776,0.0891921804774338
1978-10-01,-0.0546909163796306,0.0641144063290152,0.0897179895614744
1978-11-01,-0.0546438773520156,0.0637447323250159,0.0882323904702769
1978-12-01,-0.0546155340438625,0.064581825007321,0.0897189014083858
1979-01-01,-0.0545976560904075,0.0649821025103846,0.0904985777554507
1979-02-01,-0.0545903939173712,0.0655639724124468,0.0921878610764819
1979-03-01,-0.0545784351603891,0.0660808493367467,0.0933373902618642
