"date","r_star","pi_star","w","shadow_rate","effective_federal_funds_rate"
1974-11-01,0.334061311406394,5.69151603654328,-0.267575688297608,7.18476600065187,9.45
1974-12-01,0.495683910114128,5.4980841718764,-0.610952515364334,6.9793750424712,8.53
1975-01-01,0.495309292717883,5.38173443048123,0.0732707935395149,5.92135667464394,7.13
1975-02-01,0.721348254523963,5.33901992274584,-0.150096795940504,5.12592746417404,6.24
1975-03-01,0.835553713766436,5.28694799384049,-0.0428323364920003,5.09641995252778,5.54
1975-04-01,0.669972468431018,5.324559215531,1.07271208549456,5.02172948953865,5.49
1975-05-01,0.662461188309709,5.37141428944909,1.00326518348125,4.58098450969275,5.22
1975-06-01,0.688475089904884,5.36657037652704,0.606210704546405,4.77368328172157,5.55
1975-07-01,0.621491240813987,5.30186573437487,0.762473654890974,5.56862483283151,6.1
1975-08-01,0.591529557569613,5.29906330450809,1.14215884264314,5.83064817894938,6.14
1975-09-01,0.624284401490965,5.32582236527833,1.25107062791654,5.75430178600567,6.24
1975-10-01,0.809798907061734,5.31193935560715,0.829128285733605,5.34177879757889,5.82
1975-11-01,1.02388612720405,5.18467099296531,0.63641985732752,4.8869324360686,5.22
1975-12-01,1.05945998700833,4.96034820215041,0.765264028814096,4.85637610090714,5.2
1976-01-01,1.30341933601416,4.76531533137692,0.521795888373297,4.25698222402467,4.87
1976-02-01,1.39720693103654,4.59194339381376,0.597802124274513,4.28206303271492,4.77
1976-03-01,1.31157519422937,4.48933324753121,0.806051020514529,4.40468617378285,4.84
1976-04-01,1.3575146156321,4.4557225528743,0.551462265365787,4.29325479395868,4.82
1976-05-01,1.29035009954641,4.52607660112529,0.827703594706154,4.60119678996222,5.29
1976-06-01,1.26969041221415,4.55666393796328,0.710778733698801,4.82296777163323,5.48
1976-07-01,1.33170740340004,4.62644525567769,0.508677141342893,4.6703031849944,5.31
1976-08-01,1.4510057384027,4.60362077639975,0.199024012485168,4.6466494561607,5.29
1976-09-01,1.55616253744647,4.51988164324018,-0.0818740706704503,4.65321943157975,5.25
1976-10-01,1.66463075235084,4.51671650394753,-0.571156779355047,4.61096608438805,5.02
1976-11-01,1.70365671093871,4.43219957303245,-0.687029191113319,4.48823702699186,4.95
1976-12-01,1.61717306358825,4.23839307574471,-0.729302101020743,4.10641973103937,4.65
1977-01-01,1.55627344796429,4.2595253334546,-0.18526291722307,4.23239797019021,4.61
1977-02-01,1.51425225037177,4.39246223245452,-0.0164702551283121,4.20025493671652,4.68
1977-03-01,1.49279985013753,4.49135573371202,0.0273137682094254,4.12785183475457,4.69
1977-04-01,1.48704218360183,4.52994683840129,-0.118503486385738,4.0923360985865,4.73
1977-05-01,1.50201766983716,4.53278883733672,-0.165467717225572,4.56352258349998,5.35
1977-06-01,1.48854801223223,4.49369342775736,-0.392069807598357,4.69492613636948,5.39
1977-07-01,1.51126859856795,4.43924593156353,-0.370473294316896,4.86473433297864,5.42
1977-08-01,1.39879569990829,4.37328447062719,-0.0727297876844635,5.13683466988315,5.9
1977-09-01,1.32518040753102,4.4158015157214,-0.171674546333222,5.48681973426715,6.14
1977-10-01,1.27717406179193,4.43661503707373,0.0468592537771446,5.81151912602039,6.47
1977-11-01,1.28673784702884,4.45977581646995,0.0918864383906245,5.73341795051204,6.51
1977-12-01,1.28747854601857,4.58547298076916,0.144970590085551,5.66811566745569,6.56
