"","rho_r_star","sigma_r_star","rho_pi_star","sigma_pi_star","cyclical_raw_1","cyclical_raw_2","cyclical_raw_3","cyclical_raw_4","sigma_pi_gap","impact_pi_m_ratio","liquidity_spread_gfc","measurement_sigma_inf","measurement_sigma_ptr","measurement_sigma_inflation_survey","measurement_sigma_tbill_survey","measurement_sigma_nominal_yield","lambda0_eps_r_star","lambda0_eps_pi_star","lambda0_eps_m","lambda0_eps_pi_gap","lambda0_eps_u","lambda0_eps_w","lambdaw_eps_r_star","lambdaw_eps_pi_star","lambdaw_eps_m","lambdaw_eps_pi_gap","lambdaw_eps_u","lambdaw_eps_w","lambda_r_star_scale","lambda_pi_star_scale","rho_w","sigma_wpi"
"liquidity_spread_gfc",0.000252978601482069,0.000220069326845982,-0.000277863663400535,-9.2590325337532e-05,6.83222960068038e-05,-0.000147678265097621,4.01608488138379e-05,1.31126949648897e-05,-0.0002562047314507,0.000272248013143879,0.00111648010937074,-0.000687717371562066,-3.780338663167e-05,-5.09045354635392e-05,-0.000295775863243123,-0.000241650734692558,-6.79886523526053e-06,-0.000126428501567058,-0.000558577451038067,0.00524866891392636,-0.013908946574585,0.000188422906276336,7.66362298338738e-06,6.71236656245978e-06,0.000321150840970168,-0.000849442051769775,-0.00354561570080595,-0.000237164346473744,0.000199847361000512,9.32612712236926e-05,0.00133772899007297,-9.68477801141018e-06
"measurement_sigma_inf",-9.48939791527293e-05,-0.00195400140499257,0.000925302847067585,0.000657462220821951,-0.00107888314708312,0.000184448161461931,7.59222550696408e-05,-0.000587827225283264,0.00162954745475461,-0.00257630659060712,-0.000687717371562066,0.00417584408728486,-0.000170034252077113,4.80931510515167e-05,0.000111206420847017,0.000368334201783713,0.000108692013650667,-7.36615184060453e-05,0.00125242283477901,-4.98153660768407e-05,0.0297699671910274,-0.0048363113837465,-2.59424594315252e-05,-9.74251673719666e-05,0.000469172869314657,0.00232694263498102,0.0193177127621337,-0.00331823985000211,0.000516155076631241,-2.7363623588361e-05,0.000808873875174498,-0.000435930745257824
"measurement_sigma_ptr",-0.00019800030931571,0.000355920403625988,-0.000951674125267033,0.000240840159948142,0.000228963296225967,1.02010571843166e-05,-1.000021732539e-05,-0.000125231475887371,0.000141604232740635,-9.78808027838868e-05,-3.780338663167e-05,-0.000170034252077113,0.00334785204297066,0.00235072928869365,0.00152129761741687,-9.78247736589321e-05,0.000144016975378375,-9.86294857726886e-05,-0.00039181108538114,0.00139167307649212,-0.00588022959067598,-0.00307397204422598,9.20245102833757e-05,-7.4499089948545e-05,-0.00035356254082533,0.00179049949016384,-0.00554921181217321,-0.002056155837881,-0.000462690008657435,-0.000207214205346034,-0.00219714937522456,-0.000293844251033911
"measurement_sigma_inflation_survey",-6.65310845408079e-05,0.000216294154555634,-0.000805596347824343,0.00028231451343377,0.000316210484324264,6.43011081841545e-05,9.08920069899383e-05,-0.00015885728070881,9.14303706512681e-05,3.17211103250386e-06,-5.09045354635392e-05,4.80931510515167e-05,0.00235072928869365,0.00240546849512817,0.000581494673395689,-3.69918483657459e-05,1.85175114573341e-05,-8.2415901972232e-05,0.000190080281407697,-0.000612024386411927,-0.00185543294063099,-0.000474026811011283,5.16544813414254e-06,-5.9613966972503e-05,-1.11375352535681e-05,0.000465691637526293,-0.00283339660530289,-0.000268119703918936,-0.000120537582097475,-6.79600263173483e-05,-0.000651616115520082,-5.00872920109398e-05
"measurement_sigma_tbill_survey",-0.000616779364543107,0.000397480209439557,0.000212472409437229,-0.000137788596646499,0.000458696269679872,0.000179507600108351,-1.05993872767475e-06,-0.000376208685103169,0.000651787437449637,-0.00048018324749025,-0.000295775863243123,0.000111206420847017,0.00152129761741687,0.000581494673395689,0.00279593827586955,4.46304028047664e-06,0.000129805138440159,-2.7141547664796e-05,-0.000161444631829744,-0.000405891633780713,0.00265097732004189,0.000163478919588872,9.24497631102064e-05,-4.75155375568751e-05,-0.000240446594124853,0.000776396331706931,0.000485052445567669,0.000267059939712876,-0.000220650692991508,-9.8449278674362e-05,-0.00130407498120731,3.18640958364794e-05
"measurement_sigma_nominal_yield",0.000120712073107223,-0.000354834486499646,0.000240573270839966,4.61723097139981e-05,-8.21877331764534e-05,5.97867853674826e-05,3.70964604258023e-05,0.000112411349988773,-0.000318681227131857,-0.000658658590940808,-0.000241650734692558,0.000368334201783713,-9.78247736589321e-05,-3.69918483657459e-05,4.46304028047664e-06,0.00023060286009487,-5.67428424280602e-06,3.28593675148407e-05,0.000274807743948084,-0.0012440271587862,0.00331790052979702,4.51843828317029e-05,-1.13418490956981e-05,4.91965952333919e-06,2.54816418450614e-06,0.000254735839843851,0.000795887754183258,8.66013192664502e-05,4.67361643685121e-05,1.10520457617957e-05,0.000290661361292809,1.50067494617169e-05
"lambda0_eps_r_star",-0.000113509982816001,6.96994328145037e-05,0.000160315507084946,-5.35735377323864e-05,-5.6685023781768e-05,6.08308456101972e-05,2.8256501455211e-05,-4.91908253380214e-06,0.000186609320764334,-0.00026362119669756,-6.79886523526053e-06,0.000108692013650667,0.000144016975378375,1.85175114573341e-05,0.000129805138440159,-5.67428424280602e-06,0.000272766729821762,-0.000156297076065311,-0.000763744128665004,0.0078719986454876,-0.0086594857583126,-0.00137733157141416,7.72492448879215e-05,-3.07753885778644e-05,-8.7142570345694e-05,0.00210298189268948,-0.00127087757528524,-0.000974604590818328,2.42100474439648e-05,-1.19107826628134e-05,-0.000155733586800044,-0.00011619868944575
"lambda0_eps_pi_star",9.94468269742191e-05,-0.00013113986640727,9.20623657764541e-05,-1.87499896300587e-05,-3.56020186112034e-05,-6.72958516497842e-05,-0.000106906764323812,8.20627525631827e-05,-0.000244017662087722,0.000233239371871514,-0.000126428501567058,-7.36615184060453e-05,-9.86294857726886e-05,-8.2415901972232e-05,-2.7141547664796e-05,3.28593675148407e-05,-0.000156297076065311,0.000231411097392812,0.00116047496300906,-0.0107791533927826,0.0147315226383143,-0.000360915173827188,3.86520036666355e-06,2.58288519568803e-05,-0.000161865721806795,-0.000774159105544257,0.00061686839183802,-9.79548172629688e-05,-5.16108384154428e-05,-1.18529647795114e-05,-0.000203381477478486,-9.77194040380934e-06
"lambda0_eps_m",0.00246037472863533,-0.00254779755051921,8.71502114738456e-05,0.000467616878472259,-0.000829380324209915,-0.000344174984216134,-0.00031641283676913,-0.00110018147649732,0.00177844955688089,0.000808528657090225,-0.000558577451038067,0.00125242283477901,-0.00039181108538114,0.000190080281407697,-0.000161444631829744,0.000274807743948084,-0.000763744128665004,0.00116047496300906,0.0112123165056786,-0.0726127612125513,0.122120810797145,-0.00733473243376686,7.81072399251687e-05,-0.000112832475296967,4.03647433913339e-05,0.000887425117463968,0.0113768458031858,-0.00378448594311989,2.39186621923896e-05,2.06884804648269e-05,-0.000262794828646237,-0.000477398215474684
"lambda0_eps_pi_gap",-0.0113732478938094,0.00947923237931097,0.00861657463528424,-0.00570325385009762,0.00436196604343795,0.00539067404873018,0.00826410064168209,0.00947434248945868,-0.000829873378400491,-0.0232509887781826,0.00524866891392636,-4.98153660768407e-05,0.00139167307649212,-0.000612024386411927,-0.000405891633780713,-0.0012440271587862,0.0078719986454876,-0.0107791533927826,-0.0726127612125513,0.700520877430307,-0.978323472640162,0.0529609508251939,3.37120866769191e-05,-7.90574518775643e-05,0.00677269577558683,0.103379404464456,-0.127025449074209,0.0260332740310399,0.00579631498070981,0.000549727788800277,0.0315364982663434,0.0036628479636006
