"date","observed_irp","fitted_observable_irp","structural_irp","structural_error","definition_wedge","irp_fit_error","nominal_yield_contribution","real_yield_contribution","cpi10_contribution"
2007-08-01,-0.125308677258698,0.113524299408849,0.27152482708377,0.396833504342468,0.158000527674922,0.238832976667546,-0.0476905501309542,-0.00814503296720087,0.294668559765702
2007-09-01,NA,0.0871566888621511,0.242712758110805,NA,0.155556069248654,NA,-0.0982335472583839,-0.0594321538217766,NA
2007-10-01,NA,0.0625994126742048,0.219174207686522,NA,0.156574795012317,NA,-0.0771563071249788,-0.0299657194505619,NA
2007-11-01,0.0230149984836584,-0.0375182874987716,0.116679374713061,0.0936643762294026,0.154197662211833,-0.06053328598243,-0.0626921168166629,0.00857204078566062,-0.0064132099514275
2007-12-01,NA,-0.0492703700407802,0.105031268444082,NA,0.154301638484862,NA,-0.112371592781571,0.0658454831398696,NA
2008-01-01,NA,-1.04556446040131,-0.0803172880045762,NA,0.965247172396735,NA,-0.0937572490659336,-0.488458010611144,NA
2008-02-01,0.0489200093173988,-1.03869826260948,-0.0707316562239444,-0.119651665541343,0.967966606385531,-1.08761827192687,-0.135949623965052,-0.63030465327106,-0.321363994690762
2008-03-01,NA,-1.08777259654872,-0.121667328238212,NA,0.966105268310509,NA,-0.12062127007449,-0.403824259221439,NA
2008-04-01,NA,-0.985317515277924,-0.0175211423705274,NA,0.967796372907397,NA,-0.0647558026500392,-0.172055277804531,NA
2008-05-01,0.0826952216829586,-0.883972123647394,0.085211461460465,0.0025162397775064,0.969183585107859,-0.966667345330353,-0.074330209685356,-0.552514487589768,-0.339822648055229
2008-06-01,NA,-0.841482487459363,0.130923569841345,NA,0.972406057300708,NA,-0.0256954545164858,-0.300254048560819,NA
2008-07-01,NA,-0.87276903027164,0.0979024754812917,NA,0.970671505752932,NA,-0.0497058108464118,-0.128331161677781,NA
2008-08-01,-0.112052360643659,-0.867120395598634,0.100544930903513,0.212597291547172,0.967665326502147,-0.755068034954975,-0.110133295028888,-0.383914932039359,-0.261019807886729
2008-09-01,NA,-0.856324111668681,0.109010937566345,NA,0.965335049235026,NA,-0.129211817299256,-0.203688290068651,NA
2008-10-01,NA,-0.769522222732334,0.203665610915319,NA,0.973187833647653,NA,-0.286314357360976,-0.085496445604758,NA
2008-11-01,-1.72556111000909,-0.865932574119654,0.107956654916336,1.83351776492543,0.97388922903599,0.859628535889436,-0.18405871413289,0.424330883339994,0.619356366682331
2008-12-01,NA,-1.02523619914187,-0.0724170431834492,NA,0.952819155958422,NA,-0.065733413102166,-0.486346797400922,NA
2009-01-01,NA,-1.00667913301934,-0.0521903582099211,NA,0.954488774809421,NA,-0.121501835007211,-0.813177065174451,NA
2009-02-01,-1.01733684130217,-1.03473825415166,-0.071390725992624,0.945946115309546,0.963347528159033,-0.0174014128494866,-0.0627475468810857,-0.350514332297554,0.395860466329154
2009-03-01,NA,-1.01482887064001,-0.0556917265468792,NA,0.959137144093126,NA,-0.0750617667130126,-0.408909371191118,NA
2009-04-01,NA,-1.01203082203091,-0.0531319134777363,NA,0.958898908553174,NA,-0.0927469075368814,-0.494657920675244,NA
2009-05-01,-0.6726150039196,-0.987299662411551,-0.0198647464445056,0.652750257475094,0.967434915967046,-0.314684658491951,-0.10699602293145,-0.323890910491021,0.11620227493052
2009-06-01,NA,-0.863140336576291,0.112582317205241,NA,0.975722653781532,NA,-0.0396473526590309,-0.450523110211722,NA
2009-07-01,NA,-0.915765879468553,0.0575346227114675,NA,0.973300502180021,NA,-0.030190051912945,-0.489008428303759,NA
2009-08-01,-0.445380974669683,-0.893420791353398,0.0802965953826534,0.525677570052336,0.973717386736052,-0.448039816683715,0.0163764232707217,-0.52884528584017,0.0644290458857331
2009-09-01,NA,-0.946623767879415,0.0237757339289024,NA,0.970399501808317,NA,0.0101682503159747,-0.560379919760737,NA
2009-10-01,NA,-0.954330342258236,0.0150315830536374,NA,0.969361925311873,NA,0.00365557295214317,-0.558355261752038,NA
2009-11-01,0.0206737009650782,-0.958660718516455,0.0103437789501965,-0.0103299220148817,0.969004497466652,-0.979334419481533,-0.0598498248938137,-0.748358889697271,-0.171125704890448
2009-12-01,NA,-0.965181668301102,0.00680719066618145,NA,0.971988858967283,NA,-0.0486473328270148,-0.575119807315721,NA
2010-01-01,NA,-0.0939180564538121,0.0658671718995125,NA,0.159785228353325,NA,-0.0589970300957549,-0.17724877881395,NA
2010-02-01,0.0837578684254697,-0.0770349240581672,0.0813880474764435,-0.0023698209490262,0.158422971534611,-0.160792792483637,-0.104290567900237,-0.118660346867635,0.0621581222842349
2010-03-01,NA,-0.0915335707160705,0.0677263248145347,NA,0.159259895530605,NA,-0.0441320643629116,-0.104639765949901,NA
2010-04-01,NA,-0.0683165824118778,0.0924091278377448,NA,0.160725710249623,NA,-0.0147188888360746,-0.155231043362977,NA
2010-05-01,-0.0853950447559349,-0.179987149629514,-0.025607764017254,0.0597872807386809,0.15437938561226,-0.0945921048735789,-0.00624787134922335,-0.163650667534416,0.0753064340100605
2010-06-01,NA,-0.216495715444203,-0.0669071883327398,NA,0.149588527111463,NA,-0.0409894978328933,-0.192743715173799,NA
2010-07-01,NA,-0.290653796800518,-0.145735367485862,NA,0.144918429314656,NA,-0.0556360579888757,-0.147728590622868,NA
2010-08-01,-0.51935455756621,-0.420913053635621,-0.283410397032317,0.235944160533893,0.137502656603304,0.0984415039305891,-0.0084837820484792,-0.0858483091607235,0.192773595139792
2010-09-01,NA,-0.434289671361523,-0.299047507173335,NA,0.135242164188188,NA,-0.0526620551516244,-0.164113916206508,NA
2010-10-01,NA,-0.555318072460871,-0.423552930400269,NA,0.131765142060602,NA,-0.0850280467667054,-0.134985746797839,NA
2010-11-01,-0.107100011253357,-0.50299043222892,-0.367118837647245,-0.260018826393888,0.135871594581675,-0.395890420975563,-0.137678005376742,-0.147533557259208,-0.110678858339613
2010-12-01,NA,-0.307932056584538,-0.157565940570381,NA,0.150366116014157,NA,-0.093238949801221,-0.15195582979782,NA
2011-01-01,NA,-0.314001206427395,-0.160600783406858,NA,0.153400423020537,NA,-0.0445643309592982,-0.0832831424059337,NA
