"date","r_star","pi_star","real_yield_10y","nominal_tp","real_tp_5y","real_tp","inflation_rp","r_star_liquid_tips","pi_star_liquid_tips","real_yield_10y_liquid_tips","nominal_tp_liquid_tips","real_tp_5y_liquid_tips","real_tp_liquid_tips","inflation_rp_liquid_tips"
2009-07-01,1.95236266631932,2.31991550718569,1.73077055654092,0.820725645526796,0.179659731548906,0.920993426815426,0.0276758631329845,1.78982691078626,2.46426884538454,1.56743134838434,0.817164962891197,0.0904850781686082,0.878307897236127,0.0692844082398588
2009-08-01,1.85733160834488,2.37886859549442,1.69478285097614,0.873153268920226,0.237905126555813,0.948059993621878,0.0535017678299535,1.75794272553021,2.42623634520398,1.60508441587702,0.898584896230429,0.175479036448045,0.925767119528026,0.103863010931693
2009-09-01,1.72410039537599,2.33387671579344,1.57173568595115,0.754924917613744,0.18293797870991,0.882016457140854,-0.000941471097279031,1.69227351475292,2.29667627352454,1.54046727559766,0.821780421639229,0.152643147358114,0.882147367930467,0.0686652203998486
2009-10-01,1.53208441120537,2.42667321359026,1.42833557263876,0.743305958806083,0.211966141454335,0.873882128831304,-0.00513863978603372,1.61834860132577,2.2569962423423,1.50531878308538,0.837048797367259,0.194729742748558,0.890953435220786,0.0746561182606487
2009-11-01,1.56006442081697,2.40006285302906,1.39896343060021,0.767994987238304,0.247272512280544,0.89490408915931,-0.00162102903880548,1.74779515800243,2.22553037353038,1.53084000364338,0.81741435040802,0.16219887628038,0.887285847799292,0.0585868649712011
2009-12-01,1.52454945803067,2.67954375869002,1.31682428049221,0.745094304902893,0.194240558668563,0.879140679556416,-0.00773481289469621,1.92165275621554,2.24061342753301,1.64848056770506,0.858124963696838,0.143326929566535,0.912579482425112,0.0755335141218259
2010-01-01,1.93413262850109,2.38124031761895,1.69425607767611,0.832862529104407,0.195991988450627,0.931203465343697,0.0296776558548383,2.00990992689784,2.25235852697673,1.75651602474539,0.886014549367713,0.132573600383105,0.927355924290281,0.0896333210107467
2010-02-01,1.83814908925164,2.27109416514312,1.66520564951893,0.92350008416801,0.324367595545768,0.985087308280138,0.066213810190824,1.86671430245919,2.2119620022939,1.68593899630451,0.950530188479972,0.245733849537548,0.966957823740846,0.114132688254907
2010-03-01,1.92916014920594,2.2912534733481,1.72528840571072,0.867951214042049,0.239958943177012,0.951074412126516,0.0448620609300511,1.94933187145413,2.21005164659266,1.75119685897148,0.908175885107781,0.174044036879093,0.939062859016281,0.0998881839819532
2010-04-01,1.92347239115438,2.38917660837131,1.73108344874465,0.891281513828185,0.239932251140692,0.961123538724238,0.0589597033429579,1.92359700099981,2.30485437317638,1.75328502484875,0.949431920025829,0.197558294301429,0.960928547827508,0.120186137969767
2010-05-01,1.69389383151533,2.29302986772863,1.53758711200951,0.639056597597896,0.102750352792801,0.819064559801244,-0.0556723821558849,1.7021067316823,2.23084841201723,1.54482484309752,0.68414784095556,0.039776147583046,0.801871889848444,0.00933736801253214
2010-06-01,1.63516283108974,2.08682130080405,1.53893084904561,0.551828143165376,0.0804523695442054,0.774415412463458,-0.10093991112227,1.64682022221141,2.00758485056598,1.5519939651799,0.603133420184537,0.023711678135439,0.757446094369619,-0.030030303979626
2010-07-01,1.57815315024486,1.97263064387248,1.47774272842795,0.397287010036573,-0.00422233595474128,0.696359268251575,-0.180824074950207,1.60725342202045,1.8796013005107,1.49646574440862,0.446563399860184,-0.069838802732864,0.672500808901277,-0.105140617024914
2010-08-01,1.21981212211795,2.04962571571097,1.18799008830403,0.151381658180249,-0.102081321267403,0.573198899996076,-0.309684449807655,1.28016444069664,1.97932749295407,1.19503914457679,0.175813528809122,-0.20363347200244,0.525165861470746,-0.234796045859894
2010-09-01,1.10125197172486,2.0353750866852,1.12689417837799,0.124100102538904,-0.093119250865859,0.559029516499642,-0.324248201600246,1.16963954588657,1.94692196196385,1.14493735764189,0.154351283884446,-0.18748385050096,0.513397111859738,-0.245984147456988
2010-10-01,0.742110252637646,2.38040057179539,0.753027403404782,-0.0892816120765057,-0.185309931006098,0.458139200108249,-0.441075652761696,0.846094345603986,2.2757933426827,0.779186873675971,-0.070950211868792,-0.300600749757846,0.397158605683674,-0.359486400902883
2010-11-01,0.890040276160039,2.36370299102902,0.866723213659837,0.000182707877175586,-0.173343325857137,0.49366775215763,-0.38405830994355,0.975754934356867,2.29290392719386,0.880919102015615,0.0211023780873537,-0.284011866169224,0.438136611995225,-0.305119414888372
2010-12-01,1.49986963559523,2.43193352999287,1.26970762194614,0.358804157329468,-0.0857218751377193,0.668348109405458,-0.189318847206544,1.54398814840437,2.32118061452527,1.300574049228,0.415157768530827,-0.148895791437507,0.64820356376182,-0.110123823092655
2011-01-01,1.56257460307612,2.64259998559919,1.21266904162089,0.34812421438948,-0.133712960313771,0.663370711752168,-0.193667474861013,1.60906870221122,2.53986712269964,1.23944858042355,0.396929480672231,-0.209049238568004,0.638504529106986,-0.117255237634706
2011-02-01,1.46440231324518,2.37273908256162,1.35078099526118,0.827398518937714,0.325829779880689,0.926848486674237,0.025850807288904,1.48190353457825,2.32641326002637,1.3648032477388,0.85425858420066,0.253351217310915,0.904673501789461,0.0775188924692112
2011-03-01,1.18279283939249,2.61682354572332,1.04560189035185,0.816044456559179,0.368901654169438,0.921977148566012,0.0184878330714806,1.20803530443871,2.53179550386971,1.07177302952627,0.843083889586994,0.303460420562881,0.898744098402672,0.0712227954132973
2011-04-01,1.06681503303507,2.70561371128112,0.967168249689644,0.89699351162014,0.446184523548785,0.961913748015785,0.0603406105354734,1.08117354135788,2.64217911960423,0.983755556622154,0.914031897680382,0.378077441535933,0.935756511857752,0.105939903356896
2011-05-01,0.944111430694031,2.52601650009456,0.868316178519299,0.756558914036836,0.401483782099402,0.890963890109827,-0.0130314691258196,0.959449833024454,2.48607205251659,0.875516150548243,0.762051765131945,0.320145952996702,0.853298787228555,0.0323432179388029
2011-06-01,0.940451023932798,2.46181157910288,0.827006945428758,0.573759390433448,0.301007907650231,0.808936046144122,-0.117433729494201,0.979198612943011,2.40090729023354,0.841393584665575,0.569446389531899,0.199195968505278,0.758147613160619,-0.068884719571851
2011-07-01,0.908804360402027,2.64166373799958,0.738458347971027,0.429439974067807,0.185322630104804,0.737146662674651,-0.191167407567938,0.968092058931856,2.57876574431515,0.755099723565172,0.40825399695901,0.0540049790363929,0.670048163831669,-0.143191744147316
2011-08-01,0.234876900609933,2.52834190487373,0.35452599856951,0.0564933625630204,0.162759536834455,0.585628811448509,-0.426602954924297,0.334862188913096,2.48829875966918,0.361925920415991,-0.0160249694489139,-0.0281927937262906,0.47273266910386,-0.384815447649173
2011-09-01,-0.187714238900992,2.39712194505496,0.220224826895825,-0.0186379457041115,0.218773232956141,0.556018100229342,-0.478896276373323,-0.0796830037592783,2.33835202185063,0.233447742477307,-0.0889094878072479,0.035958459878403,0.441705897645468,-0.433803808395432
2011-10-01,-0.126946429392851,2.37850803688973,0.328696068545872,0.00699976482256863,0.136847657989147,0.528950353889429,-0.423035901862525,-0.0225672755115864,2.32006285416667,0.34179438933135,-0.0553613719185102,-0.0409375269462357,0.420326267149782,-0.375511686800253
2011-11-01,-0.482034335036269,2.45061627463974,0.119722948600067,-0.0314212406797089,0.206451361608387,0.524247490804099,-0.461143172065118,-0.366056527748841,2.41207535761335,0.125937562573936,-0.101419818783081,0.0288319773010233,0.411448831090179,-0.417191602564142
2011-12-01,-0.611333722338201,2.50557523243891,0.0575803120752,-0.0973901069720529,0.174851853676896,0.491477895327097,-0.496312980587708,-0.48995605127997,2.4292641321556,0.0765415175961535,-0.152330154876127,0.00783304052507463,0.383136430486069,-0.441791349062582
2012-01-01,-0.777513248931709,2.61696242013,-0.0800202489454934,-0.0846779124214343,0.215587951953311,0.499431758197053,-0.492133930733059,-0.648608081133677,2.55203784106565,-0.0646908751925576,-0.148690374202913,0.0451629932167106,0.387674010869309,-0.443335675680612
2012-02-01,-0.93893052758498,2.73150733591658,-0.218156769747308,-0.0551333433397995,0.246782950017316,0.505749026158232,-0.468544728719065,-0.83863263682291,2.6779291870271,-0.214189932001688,-0.10119663982244,0.104887092315924,0.406148483855946,-0.41392774421583
2012-03-01,-0.903826154100339,2.82432751003457,-0.212119084739251,0.0933822647348465,0.284191771654968,0.547460742349871,-0.356063262029445,-0.807554459309873,2.72733720990509,-0.187709132033027,0.0771154986250576,0.177099184972986,0.470530911109351,-0.294103136212536
2012-04-01,-1.04182027810011,2.7680833625916,-0.257006180743508,0.0257403628837726,0.288473552064698,0.526887109468176,-0.407012426953614,-0.93604619551286,2.69760840307571,-0.24397522590427,-0.0138145941233223,0.157765189589642,0.434504018784838,-0.353066473617709
