"date","r_star_estimate","r_star_p025","r_star_p16","r_star_median","r_star_p84","r_star_p975","pi_star_estimate","pi_star_p025","pi_star_p16","pi_star_median","pi_star_p84","pi_star_p975","w_estimate","w_p025","w_p16","w_median","w_p84","w_p975"
2015-06-01,-0.412559876875306,-3.2501596896465,-1.35008250333985,-0.525268824316142,0.0938805693200465,1.30839972097805,1.92596536381527,1.3883251695408,1.74697667905716,1.94644708043279,2.14811248159686,2.62942974491677,-0.468358387172246,-1.84431427845455,-0.944411777162108,-0.30805584980526,0.431302549010861,1.83982700978337
2015-07-01,-0.336918521117983,-3.13066320069445,-1.26183941466624,-0.482368044316872,0.180863439771184,1.44884505259103,1.8405638802565,1.22624155112393,1.63460048344424,1.84748362080052,2.08580066516571,2.58198488538311,-0.71355193985841,-1.88812600043322,-1.24389835609125,-0.493218790089427,0.319871254665945,1.85415826800403
2015-08-01,-0.325861720493094,-3.26468226587474,-1.3043334942765,-0.462200557256719,0.173975521634053,1.39905142957485,1.80014172423763,1.30729932699749,1.63147966960252,1.79514242600171,1.95827282875189,2.28184339985619,-1.29550713979609,-2.36864187411549,-1.69952518443483,-1.07142233991255,-0.224201837430419,1.63618743452483
2015-09-01,-0.255346542975211,-3.11852132649043,-1.22058142183551,-0.400016392182412,0.238179717583859,1.53893264664338,1.58312271450926,0.993416797775151,1.36786288691217,1.59063484939729,1.7995950944049,2.22348731736988,-1.1125763444205,-2.3321531599188,-1.56018951141568,-0.897214481744145,-0.0394219512266493,1.54732849584762
2015-10-01,-0.391481096092038,-3.2328554989309,-1.35171879801284,-0.531643304584151,0.11330348773498,1.53897315396551,1.57052366781383,0.9087501424629,1.33631027612565,1.5654644872745,1.80269794605571,2.25689961647081,-1.07623776820693,-2.286521864002,-1.49600465192059,-0.851057649848581,0.0111119411674447,1.55554415144511
2015-11-01,-0.29752737858377,-3.16439277431509,-1.24408350663996,-0.437097598738922,0.198461734978631,1.40288823165249,1.73116759693373,1.27681820174104,1.58471612705743,1.73706342618759,1.90081489068057,2.26846319643818,-0.916871295948406,-1.98099541584815,-1.28604335711995,-0.758349548786263,-0.0414903256557758,1.41766659333599
2015-12-01,-0.387388925845924,-3.14203948948683,-1.29535949733979,-0.499357740947408,0.13249285075867,1.43980959104691,1.55719941920824,0.988923392566862,1.37672141132181,1.57753020421189,1.79787323300949,2.3055644728014,-0.559902161077559,-1.6828882921585,-0.943718402565854,-0.445377991226639,0.176022649754335,1.41418910503486
2016-01-01,-0.58999530504789,-3.35464514649858,-1.47562913755487,-0.691857044924335,-0.0343902954083926,1.30018972058206,1.52457839782723,0.883333088953832,1.31793233804965,1.52701040184096,1.76786301578811,2.1886932923817,-0.644587490084858,-1.86514967526919,-1.10298822759689,-0.586119793292573,0.0618393294641493,1.23715435696843
2016-02-01,-0.791512651161553,-3.04658483135047,-1.51935694998103,-0.858729560654235,-0.297853494330001,0.714286717284495,1.76867454878453,1.28067472873504,1.60361007098218,1.75712881700147,1.90307152275833,2.20325598070475,-1.47081461098729,-2.312538880378,-1.85437721686281,-1.4050526730842,-0.93761183815147,-0.222841195616441
2016-03-01,-1.0222605531874,-3.48047762044054,-1.80801971730548,-1.07300932341326,-0.472758110910057,0.666870953683429,1.84481101953872,1.20237427642369,1.62217864799581,1.83904350886215,2.04872940977559,2.50870313895837,-0.893246445021363,-1.99197997164775,-1.35902564748626,-0.877908191196885,-0.342621099662494,0.5850066156432
