"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
1,-1,0,12,2.25,"Above the bound",0.5,12,"1y","Real",1.17717159990839,1.17747907790943,-0.0307478001034145,0.00783067498294666,2000000
-1,0,0,13,0.75,"Near the bound",0.5,12,"1y","Real",-0.967342489671952,-0.966504179916967,-0.0838309754985556,0.0191598155463108,2000000
0,0,0,14,2,"Above the bound",0.5,12,"1y","Real",0.0384109177234817,0.0387704096702859,-0.0359491946804152,0.00892405192072776,2000000
1,0,0,15,3.25,"Above the bound",0.5,12,"1y","Real",1.1566723156044,1.15675862139516,-0.0086305790758523,0.00308632869264533,2000000
-1,1,0,16,1.75,"Above the bound",0.5,12,"1y","Real",-1.09820925453633,-1.09779266191806,-0.0416592618275979,0.0101406345610803,2000000
0,1,0,17,3,"Above the bound",0.5,12,"1y","Real",0.0115361192610255,0.011645019222733,-0.0108899961707534,0.00359531479584161,2000000
1,1,0,18,4.25,"Above the bound",0.5,12,"1y","Real",1.15618599512824,1.15620257161688,-0.00165764886381758,0.00103469368066644,2000000
-1,-1,1,19,1.25,"Above the bound",0.5,12,"1y","Real",-0.431318052985044,-0.430405501225669,-0.0912551759375047,0.0207185494064159,2000000
0,-1,1,20,2.5,"Above the bound",0.5,12,"1y","Real",0.54675213588974,0.547201759690665,-0.0449623800924948,0.0110026471123604,2000000
1,-1,1,21,3.75,"Above the bound",0.5,12,"1y","Real",1.6502096789868,1.65034831510384,-0.013863611704612,0.0042824416038894,2000000
-1,0,1,22,2.25,"Above the bound",0.5,12,"1y","Real",-0.587059576674928,-0.586556679716648,-0.0502896958280097,0.0122652896080253,2000000
0,0,1,23,3.5,"Above the bound",0.5,12,"1y","Real",0.506127580666172,0.506294681738336,-0.0167101072164333,0.00490508417661589,2000000
1,0,1,24,4.75,"Above the bound",0.5,12,"1y","Real",1.64573035789228,1.64576156001438,-0.00312021221011705,0.00157185078002112,2000000
-1,1,1,25,3.25,"Above the bound",0.5,12,"1y","Real",-0.637230044413646,-0.63703010333351,-0.0199941080135435,0.00560945883400893,2000000
0,1,1,26,4.5,"Above the bound",0.5,12,"1y","Real",0.499331463753147,0.4993712780917,-0.00398143385525462,0.00183112955186963,2000000
1,1,1,27,5.75,"Above the bound",0.5,12,"1y","Real",1.64883080931877,1.6488361891744,-0.00053798556303164,0.000500934717665843,2000000
-1,-1,-1,1,-1.75,"Below the bound",0.5,24,"2y","Nominal",0.406040288314981,0.408850381481883,-0.281009316690156,0.0248674747115334,2000000
0,-1,-1,2,-0.5,"Below the bound",0.5,24,"2y","Nominal",0.8726551016137,0.875166969484925,-0.251186787122437,0.0237426007881179,2000000
1,-1,-1,3,0.75,"Near the bound",0.5,24,"2y","Nominal",1.64163821719102,1.64294677635514,-0.13085591641171,0.0151093750566359,2000000
-1,0,-1,4,-0.75,"Below the bound",0.5,24,"2y","Nominal",0.819747564167628,0.822404775162761,-0.265721099513327,0.0240611178909255,2000000
0,0,-1,5,0.5,"Near the bound",0.5,24,"2y","Nominal",1.54678921013114,1.54825818045967,-0.14689703285311,0.0159581074336804,2000000
1,0,-1,6,1.75,"Above the bound",0.5,24,"2y","Nominal",2.50229914899322,2.50279978061678,-0.0500631623557624,0.00763436762993305,2000000
-1,1,-1,7,0.25,"Near the bound",0.5,24,"2y","Nominal",1.45571189312891,1.45735706642725,-0.164517329833513,0.0168212860809094,2000000
0,1,-1,8,1.5,"Above the bound",0.5,24,"2y","Nominal",2.39513725339149,2.39571827346901,-0.0581020077517369,0.0081762223254187,2000000
