"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
0,-1,1,20,2.5,"Above the bound",-0.5,24,"2y","Nominal",1.76005665505275,1.76059546808498,-0.053881303223724,0.0533634705462548,200000
1,-1,1,21,3.75,"Above the bound",-0.5,24,"2y","Nominal",2.7195570998164,2.71988125652015,-0.032415670375352,0.0287226746524695,200000
-1,0,1,22,2.25,"Above the bound",-0.5,24,"2y","Nominal",1.65966215202727,1.66021796828148,-0.0555816254206976,0.0554800374498813,200000
0,0,1,23,3.5,"Above the bound",-0.5,24,"2y","Nominal",2.61109703122242,2.61143996192249,-0.0342930700068411,0.0300143152561747,200000
1,0,1,24,4.75,"Above the bound",-0.5,24,"2y","Nominal",3.63236694073033,3.63248066701239,-0.0113726282054749,0.0136340882672564,200000
-1,1,1,25,3.25,"Above the bound",-0.5,24,"2y","Nominal",2.50314457807698,2.50350350067156,-0.0358922594583699,0.0314214256065194,200000
0,1,1,26,4.5,"Above the bound",-0.5,24,"2y","Nominal",3.52148544088651,3.52161179506887,-0.0126354182367727,0.0142577379249919,200000
1,1,1,27,5.75,"Above the bound",-0.5,24,"2y","Nominal",4.56742271567243,4.567428730208,-0.000601453556736686,0.00569377978248268,200000
-1,-1,-1,1,-1.75,"Below the bound",-0.5,24,"2y","Real",-0.91881755007212,-0.917141860109027,-0.167568996309353,0.0800616622948166,200000
0,-1,-1,2,-0.5,"Below the bound",-0.5,24,"2y","Real",-0.453808172357182,-0.452456850919116,-0.135132143806621,0.0758809280440331,200000
1,-1,-1,3,0.75,"Near the bound",-0.5,24,"2y","Real",0.313883573614875,0.314489145620814,-0.0605572005939414,0.0481017620712428,200000
-1,0,-1,4,-0.75,"Below the bound",-0.5,24,"2y","Real",-1.44642610287662,-1.44488331271383,-0.154279016278958,0.0769453713700652,200000
0,0,-1,5,0.5,"Near the bound",-0.5,24,"2y","Real",-0.720717643479907,-0.720006971505613,-0.0710671974294086,0.0508108129879862,200000
1,0,-1,6,1.75,"Above the bound",-0.5,24,"2y","Real",0.234055537419,0.234277925326839,-0.0222387907839516,0.0242192807046004,200000
-1,1,-1,7,0.25,"Near the bound",-0.5,24,"2y","Real",-1.75154031057386,-1.75070199198624,-0.0838318587624842,0.0535718725314313,200000
0,1,-1,8,1.5,"Above the bound",-0.5,24,"2y","Real",-0.812903118838305,-0.812634858271889,-0.0268260566415934,0.0259473645467779,200000
1,1,-1,9,2.75,"Above the bound",-0.5,24,"2y","Real",0.213458888254712,0.213507571075732,-0.00486828210191081,0.010267538077926,200000
-1,-1,0,10,-0.25,"Below the bound",-0.5,24,"2y","Real",-0.482866039180742,-0.481730231820836,-0.113580735990682,0.0839535096272465,200000
0,-1,0,11,1,"Near the bound",-0.5,24,"2y","Real",0.193271979069058,0.19395539156379,-0.0683412494731972,0.0655678938535226,200000
1,-1,0,12,2.25,"Above the bound",-0.5,24,"2y","Real",1.09819130473954,1.09853485777544,-0.0343553035901722,0.0369186233976997,200000
-1,0,0,13,0.75,"Near the bound",-0.5,24,"2y","Real",-0.834867809998127,-0.834076750496228,-0.0791059501899172,0.0680280810598775,200000
0,0,0,14,2,"Above the bound",-0.5,24,"2y","Real",0.053354407940008,0.0537339752070724,-0.0379567267064319,0.038855038468221,200000
1,0,0,15,3.25,"Above the bound",-0.5,24,"2y","Real",1.05427991193625,1.0544186771965,-0.0138765260250029,0.0179180434087468,200000
-1,1,0,16,1.75,"Above the bound",-0.5,24,"2y","Real",-0.99021521353357,-0.989796944799742,-0.0418268733828886,0.0409646917266617,200000
0,1,0,17,3,"Above the bound",-0.5,24,"2y","Real",0.00452684581731387,0.00467894042766093,-0.0152094610347061,0.0189261203161341,200000
1,1,0,18,4.25,"Above the bound",-0.5,24,"2y","Real",1.04427567806833,1.04428841340482,-0.00127353364931526,0.00752888424269438,200000
-1,-1,1,19,1.25,"Above the bound",-0.5,24,"2y","Real",0.13371727240024,0.134303713265365,-0.0586440865124854,0.0790384105294646,200000
0,-1,1,20,2.5,"Above the bound",-0.5,24,"2y","Real",0.950231550292613,0.950646329547837,-0.0414779255224262,0.0541019800883389,200000
1,-1,1,21,3.75,"Above the bound",-0.5,24,"2y","Real",1.9089241120803,1.90917540708799,-0.0251295007683616,0.029129109005177,200000
-1,0,1,22,2.25,"Above the bound",-0.5,24,"2y","Real",-0.0899214275859004,-0.0894760456653581,-0.0445381920542207,0.0562521665542298,200000
0,0,1,23,3.5,"Above the bound",-0.5,24,"2y","Real",0.860663792240367,0.860936872689555,-0.0273080449188168,0.0304409427271743,200000
1,0,1,24,4.75,"Above the bound",-0.5,24,"2y","Real",1.88155176895474,1.88163545072347,-0.00836817687352998,0.0138395461724561,200000
-1,1,1,25,3.25,"Above the bound",-0.5,24,"2y","Real",-0.187085564192053,-0.186792574658168,-0.0292989533885013,0.0318697957477782,200000
0,1,1,26,4.5,"Above the bound",-0.5,24,"2y","Real",0.830849839845786,0.830946679658024,-0.00968398122385139,0.0144737694875188,200000
1,1,1,27,5.75,"Above the bound",-0.5,24,"2y","Real",1.87664648173038,1.87664245576582,0.000402596456194892,0.00578567065822888,200000
-1,-1,-1,1,-1.75,"Below the bound",-0.5,60,"5y","Nominal",0.765494714548002,0.770633709563972,-0.513899501597015,0.0793967270895479,200000
0,-1,-1,2,-0.5,"Below the bound",-0.5,60,"5y","Nominal",1.21676184438271,1.22076193717601,-0.400009279330349,0.0686015872694754,200000
