"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths","wu_xia_yield","wu_xia_error_bp","implementation_difference_bp"
1,-1,1,21,3.75,"Above the bound",0.5,12,"1y","Nominal",3.0828044489259,3.0829139234092,-0.0109474483294569,0.00433517993020483,2000000,3.0828044489259,-0.0109474483294569,0
-1,0,1,22,2.25,"Above the bound",0.5,12,"1y","Nominal",1.81412664539719,1.81454436632085,-0.0417720923662657,0.0123962849554225,2000000,1.81412664539719,-0.0417720923662657,0
0,0,1,23,3.5,"Above the bound",0.5,12,"1y","Nominal",2.90684062626702,2.90697462125087,-0.0133994983845476,0.00496455108291693,2000000,2.90684062626702,-0.0133994983845476,0
1,0,1,24,4.75,"Above the bound",0.5,12,"1y","Nominal",4.04630173793791,4.04632534822258,-0.00236102846695729,0.00159381053730903,2000000,4.04630173793791,-0.00236102846695729,0
-1,1,1,25,3.25,"Above the bound",0.5,12,"1y","Nominal",2.73160674592997,2.73176955263957,-0.0162806709602226,0.00567638579618184,2000000,2.73160674592997,-0.0162806709602226,0
0,1,1,26,4.5,"Above the bound",0.5,12,"1y","Nominal",3.86799935527104,3.86803008046891,-0.00307251978695078,0.00185634383093974,2000000,3.86799935527104,-0.00307251978695078,0
1,1,1,27,5.75,"Above the bound",0.5,12,"1y","Nominal",5.01746379586909,5.01746778728898,-0.000399141988705054,0.00050878822960661,2000000,5.01746379586909,-0.000399141988705054,0
-1,-1,-1,1,-1.75,"Below the bound",0.5,24,"2y","Nominal",0.406062274770214,0.408850381481883,-0.278810671166879,0.0248674747115334,2000000,0.406062274770214,-0.278810671166879,0
0,-1,-1,2,-0.5,"Below the bound",0.5,24,"2y","Nominal",0.872674985679564,0.875166969484925,-0.249198380536064,0.0237426007881179,2000000,0.872674985679564,-0.249198380536064,0
1,-1,-1,3,0.75,"Near the bound",0.5,24,"2y","Nominal",1.64165129446109,1.64294677635514,-0.129548189404605,0.0151093750566359,2000000,1.64165129446109,-0.129548189404605,0
