"date","r_star_ekf","r_star_ukf","pi_star_ekf","pi_star_ukf","m_ekf","m_ukf","shadow_rate_ekf","shadow_rate_ukf"
1997-01-01,1.69486229559457,1.69280212756393,2.9723656731944,2.97251355528289,0.027609882329713,0.0298620677385186,4.69483785111868,4.69517775058533
1997-02-01,1.70359556757455,1.7015183926976,2.86233230252279,2.86232794963609,0.116477813368026,0.118813849281456,4.68240568346536,4.68266019161515
1997-03-01,1.79194821668266,1.78997543177796,2.9408633479975,2.94096172031876,0.0426394192985118,0.0447617371612709,4.77545098397868,4.77569888925799
1997-04-01,1.73819771629103,1.73630166725094,3.03618359354975,3.03632802868081,-0.0387443828488074,-0.0368608859793533,4.73563692699197,4.7357688099524
1997-05-01,1.75519244606954,1.75327410349132,2.85478988321015,2.85480280193008,0.0295923054482481,0.0315922869530632,4.63957463472794,4.63966919237446
1997-06-01,1.65382729511658,1.65181318611522,2.80295751717036,2.80296341492052,0.0750309321248127,0.0771793008676627,4.53181574441175,4.5319559019034
1997-07-01,1.57511715532053,1.57288337150572,2.73600015687256,2.73602665751781,0.409340305605249,0.411793048787634,4.72045761779833,4.72070307781116
1997-08-01,1.6468978019308,1.64469199574817,2.79483245723353,2.7948393516743,0.396400981473433,0.398902205919844,4.83813124063776,4.83843355334231
1997-09-01,1.59584732842085,1.5936081951746,2.72644198500417,2.7264959304107,0.313804788857509,0.316236292684599,4.63609410228253,4.6363404182699
1997-10-01,1.55917348085725,1.55674197831687,2.60066904475149,2.60073806780911,0.510829126307915,0.513463392011736,4.67067165191665,4.67094343813772
1997-11-01,1.448607290628,1.4460558263171,2.56573677448155,2.56574276356501,0.868587169505673,0.87148046867383,4.88293123461522,4.88327905855594
1997-12-01,1.42572305220889,1.42297407600496,2.43136855986728,2.4313931499042,1.04364807735582,1.04672374393857,4.90073968943199,4.90109096984772
1998-01-01,1.45443081715517,1.45144073995595,2.32502451699582,2.32510969236107,1.06804895528257,1.07143217660241,4.84750428943356,4.84798260891943
1998-02-01,1.5425538215602,1.54001355081579,2.52969707628522,2.52955814704599,0.964244743638402,0.967497053651946,5.03649564148382,5.03706875151373
1998-03-01,1.51239823953024,1.50977851498748,2.35583946717552,2.35584837363502,0.961824951228482,0.964929207163062,4.83006265793424,4.83055609578556
1998-04-01,1.52372688086445,1.52089848271526,2.22261268962257,2.22267100890779,0.946161838859576,0.949344562522698,4.69250140934659,4.69291405414575
1998-05-01,1.5077789836557,1.50496991627993,2.26381500876028,2.2638227764485,0.965292434083171,0.96850665455925,4.73688642649915,4.73729934728768
1998-06-01,1.47296488586148,1.46996408804296,2.11915692815997,2.11919719191047,1.12161260234724,1.12496564565586,4.71373441636868,4.71412692560929
1998-07-01,1.53115553617355,1.52795233375213,2.00381689860306,2.00392707341264,1.15716374321747,1.16073671755844,4.69213617799409,4.6926161247232
1998-08-01,1.22669739466867,1.22369650378478,2.31904896028496,2.31909335026158,1.14577634058084,1.14931073211625,4.69152269553446,4.69210058616261
1998-09-01,1.19435482903731,1.19102406951247,2.02639132592755,2.02641838752394,1.28083074610286,1.28484876827805,4.50157690106772,4.50229122531446
1998-10-01,1.30966135852346,1.30643701885885,1.83345295695018,1.8338040315224,0.742340606840627,0.746218135307978,3.88545492231427,3.88645918568923
1998-11-01,1.17831635671772,1.17569420808175,2.2463834070235,2.2465145411803,0.883368684024141,0.887205145675877,4.30806844776536,4.30941389493792
1998-12-01,1.23797200520027,1.23500124411896,2.00892165139133,2.00911179453201,1.05197897221958,1.05600592917931,4.29887262881118,4.30011896783028
1999-01-01,1.94187283142553,1.93807074598808,1.28954692590279,1.29031664389332,0.97456404898551,0.978885345145137,4.20598380631383,4.20727273502654
1999-02-01,1.8805187998392,1.87780527456161,1.87352070278495,1.87371727268209,0.649605519443556,0.653184209723664,4.40364502206771,4.40470675696736
1999-03-01,2.20575943386552,2.20298157996541,1.51941795954467,1.51995649025279,0.520306283838836,0.523516387589575,4.24548367724903,4.24645445780777
1999-04-01,2.35958303728992,2.35657179240843,1.25157226954812,1.25219670240481,0.450497595412167,0.453663635473414,4.0616529022502,4.06243213028666
1999-05-01,2.12940092383105,2.127075298313,1.91687586950753,1.9171955023321,0.230197958087722,0.233050278171833,4.2764747514263,4.27732107881694
