"regime","series","unit","filter_ekf","bias_ekf","rmse_ekf","mae_ekf","average_sd_ekf","coverage_68_ekf","coverage_95_ekf","binding_fraction_ekf","loglik_per_month_ekf","runtime_seconds_ekf","iteration_fraction_ekf","bias_mc_sd_ekf","rmse_mc_sd_ekf","mae_mc_sd_ekf","average_sd_mc_sd_ekf","coverage_68_mc_sd_ekf","coverage_95_mc_sd_ekf","binding_fraction_mc_sd_ekf","loglik_per_month_mc_sd_ekf","runtime_seconds_mc_sd_ekf","iteration_fraction_mc_sd_ekf","filter_iekf","bias_iekf","rmse_iekf","mae_iekf","average_sd_iekf","coverage_68_iekf","coverage_95_iekf","binding_fraction_iekf","loglik_per_month_iekf","runtime_seconds_iekf","iteration_fraction_iekf","bias_mc_sd_iekf","rmse_mc_sd_iekf","mae_mc_sd_iekf","average_sd_mc_sd_iekf","coverage_68_mc_sd_iekf","coverage_95_mc_sd_iekf","binding_fraction_mc_sd_iekf","loglik_per_month_mc_sd_iekf","runtime_seconds_mc_sd_iekf","iteration_fraction_mc_sd_iekf","rmse_ratio_iekf_to_ekf","coverage_95_difference"
"binding","r_star","percentage points","EKF",0.0293404216480019,0.207605823393133,0.165178660264659,0.191149376501903,0.661677209657186,0.93646832812916,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.144615372602335,0.126386403984836,0.113749886080487,0.107295676599677,0.154773959617421,0.066490480160401,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.00667588272174034,0.200173433059161,0.160005083329634,0.193143000476631,0.684672577758156,0.948212949930416,0.129093525179856,81.9740626982289,0.129875000000001,1,0.147217502407789,0.129818101986831,0.119917524389178,0.107787465309474,0.163131346763454,0.0575468538625967,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.964199509375527,0.0117446218012566
"binding","shadow_rate","percentage points","EKF",0.351383740272197,0.60588435480873,0.459826246120663,0.32529177929551,0.404457037650753,0.640919526692064,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.155077317820994,0.281897251735746,0.198869086299801,0.218966503345953,0.177079100130997,0.184111885207342,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.155055703259265,0.462126852173434,0.341149415807353,0.371751758864736,0.610710956736825,0.890886655872368,0.129093525179856,81.9740626982289,0.129875000000001,1,0.18864063264769,0.307189964286523,0.20779576396576,0.204316779393116,0.154627622964258,0.0832470189069348,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.762731119405322,0.249967129180305
"binding","u","percentage points","EKF",-0.0709713289061596,1.37850081785771,1.12071544626773,1.41233159808793,0.685873055996157,0.953233981509821,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.453530214359298,0.286579627295931,0.255507688594873,0.00812341561018895,0.134818420420151,0.0560114686199206,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.0573333180529799,1.37733275748697,1.11924171924096,1.41254818043689,0.684437081983743,0.954429995389902,0.129093525179856,81.9740626982289,0.129875000000001,1,0.455163292755104,0.287668562190983,0.255976789680118,0.00814371128082944,0.13624819037658,0.0520182627231601,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.999152658920757,0.00119601388008128
"binding","w","normalized units","EKF",-0.169989418966151,0.396601848912743,0.312847180255076,0.294357134299806,0.537353632267012,0.838977308639758,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.120655468779286,0.140425420894142,0.10389265487049,0.0970530976743257,0.163728089550792,0.125115986399056,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.0773435039674421,0.34688878820331,0.273677929161327,0.318998285475962,0.651476539738472,0.93295525687881,0.129093525179856,81.9740626982289,0.129875000000001,1,0.126957104757336,0.139132600489929,0.105707315276887,0.0893409798208851,0.149266221330758,0.0553769168917826,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.874652473643989,0.093977948239052
"nonbinding","m","percentage points","EKF",0.0083275122193173,0.129146590007201,0.0849394367939732,0.0976508897745163,0.668957080679628,0.939435228218351,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0140131059423979,0.0599176568687791,0.0194154105021751,0.0110207007480447,0.0228057360232282,0.0166111813505362,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.000499024415779678,0.0982723359774324,0.0771141562066993,0.0963852295913583,0.679005504523252,0.948745597317943,0.129093525179856,81.9740626982289,0.129875000000001,1,0.00581402496322087,0.0124951840039046,0.0079714697189754,0.00890906703548828,0.0188951462399256,0.00947347879989706,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.760936359000675,0.00931036909959193
"nonbinding","pi_gap","percentage points","EKF",-0.00467558935574564,0.970729612007465,0.773786282360835,0.966237684165505,0.678522621004689,0.949171656788342,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.082561549557774,0.0396876078792756,0.0318355801684409,0.00831595468317744,0.0228386157932327,0.0118012616088622,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.00455512688446261,0.969609731871725,0.7729301619218,0.966165173416554,0.67915911288367,0.949636792802508,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0823532363963192,0.0397884341777837,0.0319209956442929,0.0082864862437406,0.0229556743156199,0.0118117585596607,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.998846352143906,0.000465136014165424
"nonbinding","pi_star","percentage points","EKF",-0.00130064260933802,0.185579282829072,0.12116436464149,0.152218448242716,0.679447748388933,0.950990316443132,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0211390614169149,0.0335180518018021,0.0143611289842706,0.0144319715755609,0.0245366205124977,0.0107365829981074,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.000768728071521045,0.185169028244331,0.120935868422164,0.152180753624924,0.680692272687809,0.951505363504712,0.129093525179856,81.9740626982289,0.129875000000001,1,0.021129037898079,0.0324498026803421,0.0143785935457077,0.0144312387474491,0.0250060510195974,0.0105996324746609,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.997789329829886,0.000515047061579232
"nonbinding","r_star","percentage points","EKF",0.00311889497522605,0.184232866324483,0.127941736823747,0.159983058630459,0.679139690269076,0.950073537673134,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0200132629547943,0.0282062178241533,0.0132358488576897,0.0129931266020458,0.0264476493606106,0.010099206099349,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.00078717379379937,0.183752728736442,0.127663967869886,0.15990450890403,0.6801111406125,0.950552597763014,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0202662532709525,0.0276770356586249,0.0130895291040225,0.0129585060969605,0.0265623945186637,0.00991723382740451,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.997393854866293,0.000479060089880301
"nonbinding","shadow_rate","percentage points","EKF",0.0101457645852053,0.126879816216237,0.078360122975992,0.0895165386067538,0.670156815450119,0.941351411508772,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0161660194338083,0.0642116564199604,0.0153368517147889,0.00581498395015396,0.0233887838521803,0.0155277430950043,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",-0.000480578693501352,0.0884137853807,0.0697879094832406,0.087469537148079,0.679912570468317,0.950861062913453,0.129093525179856,81.9740626982289,0.129875000000001,1,0.00421057950713334,0.00667891968112882,0.00305168042256336,0.00234733550628788,0.0194222350290275,0.0096311748566901,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.696830969789703,0.00950965140468163
"nonbinding","u","percentage points","EKF",0.00296779455103968,1.40765132376155,1.12223894505777,1.40996402563038,0.682675420671383,0.950049400787314,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0640155615141913,0.0435341054133982,0.0358369533665154,0.00111368986126505,0.0187268784200371,0.00976472195759048,0.173159337826291,0.591278887833595,0.0059710861111464,0,"IEKF",0.00271598336804484,1.40752480870757,1.12218291828528,1.40995634979185,0.682456445352469,0.950030696120674,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0641649121577398,0.0434477760069168,0.0359166118271619,0.00111205896447291,0.0185845428046327,0.00981904176219109,0.173159337826291,0.597769031711619,0.00879123449920956,0,0.999910123301247,-1.87046666401125e-05
