"filter","regime","series","unit","observations","bias","rmse","mae","average_sd","coverage_68","coverage_95","binding_fraction","loglik_per_month","runtime_seconds","iteration_fraction","replication"
"UKF","nonbinding","pi_star","percentage points",679,-0.0114366482539377,0.183016605584036,0.12165559449731,0.151036442002517,0.671575846833579,0.952871870397644,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","nonbinding","m","percentage points",679,-0.00602764188772182,0.104555916783648,0.0783421484395041,0.103832410981726,0.698085419734904,0.948453608247423,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","nonbinding","pi_gap","percentage points",679,-0.0474760404471554,0.987975688674134,0.767413770407032,0.969075159615248,0.693667157584683,0.938144329896907,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","nonbinding","u","percentage points",679,-0.014539581298271,1.44219266998975,1.15266266646124,1.41400838396227,0.670103092783505,0.942562592047128,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","nonbinding","w","normalized units",679,-0.00689138611948626,0.159211750506959,0.124699521488882,0.156389251884081,0.693667157584683,0.944035346097202,0.023021582733813,81.5660317317842,0.472,0,1
"UKF","nonbinding","shadow_rate","percentage points",679,-0.00174692355642027,0.0945153641843392,0.0741683098721683,0.100172478340566,0.693667157584683,0.958762886597938,0.023021582733813,81.5660317317842,0.472,0,1
"EKF","all","r_star","percentage points",695,0.0292153533914381,0.141744451472711,0.101469810156622,0.139471958208916,0.702158273381295,0.966906474820144,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","all","pi_star","percentage points",695,-0.0362510815768429,0.175265058444563,0.120650962319736,0.154152440673149,0.687769784172662,0.959712230215827,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","all","m","percentage points",695,0.00508971897833161,0.094229469517476,0.074264969300136,0.0928725394486829,0.673381294964029,0.961151079136691,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","all","pi_gap","percentage points",695,-0.00652370267235824,0.939125242605415,0.758150915007452,0.969352719611379,0.671942446043165,0.958273381294964,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","all","u","percentage points",695,-0.0237609425830845,1.49709927692094,1.20521303355183,1.41406527081978,0.666187050359712,0.943884892086331,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","all","w","normalized units",695,-0.00472582238469426,0.147649446493515,0.118148791545869,0.149250372832828,0.679136690647482,0.952517985611511,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","all","shadow_rate","percentage points",695,-0.0019460092070731,0.0842964209364467,0.0671493660496872,0.0867241182823696,0.699280575539568,0.958273381294964,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","binding","r_star","percentage points",3,-0.0407362848108178,0.150716530633822,0.118227510562477,0.114660427166567,0.666666666666667,0.666666666666667,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","binding","pi_star","percentage points",3,0.0188489477441843,0.10117829882508,0.087388622213138,0.11427277696693,0.666666666666667,1,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","binding","m","percentage points",3,0.0516836339171212,0.154127957803225,0.116249571430314,0.107305206784982,0.666666666666667,0.666666666666667,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","binding","pi_gap","percentage points",3,0.722178325857791,0.751883774633848,0.722178325857791,0.985755192212746,1,1,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
