"filter","regime","series","unit","bias","rmse","mae","average_sd","coverage_68","coverage_95","binding_fraction","loglik_per_month","runtime_seconds","iteration_fraction","bias_mc_sd","rmse_mc_sd","mae_mc_sd","average_sd_mc_sd","coverage_68_mc_sd","coverage_95_mc_sd","binding_fraction_mc_sd","loglik_per_month_mc_sd","runtime_seconds_mc_sd","iteration_fraction_mc_sd"
"UKF","nonbinding","pi_gap","percentage points",-0.00614865861833597,0.969986329256329,0.773230561080849,0.966852254618048,0.678815631776065,0.949742483846991,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0817764498642784,0.0396840090928285,0.0319407399794271,0.00850944205073235,0.0225707138754189,0.0118257601576837,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","all","pi_star","percentage points",-0.00015121952971685,0.18726034202076,0.122194915734217,0.152844086999025,0.677223021582734,0.949388489208633,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0205291395259475,0.0267862464957819,0.00891559559057014,0.00292562097271006,0.0237384808030751,0.00996283092583121,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","all","pi_star","percentage points",-0.000302279801997609,0.186499931002546,0.121802470500255,0.152904339164576,0.679640287769784,0.950834532374101,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0204512050445042,0.0257726952944671,0.00881598017738635,0.00296108023008245,0.024170023492525,0.009861730259912,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","all","pi_star","percentage points",-0.00174265275976097,0.18661660290915,0.121832834522942,0.153325733788681,0.680726618705036,0.950985611510791,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0201736538188587,0.025930808936478,0.00877027339438021,0.00318190326491101,0.0237302785863194,0.010068406677951,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","binding","pi_star","percentage points",0.0275433644898347,0.184666595279787,0.144248115025784,0.167981824385122,0.647810621297568,0.934169174318893,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.140518805500594,0.127617985388467,0.116618648082404,0.122892833467133,0.153357634596039,0.0696863093564984,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","binding","pi_star","percentage points",0.0177771098399097,0.181711958531443,0.14251769914525,0.16902708680031,0.655659843832669,0.945302482669412,0.129093525179856,81.9740626982289,0.129875000000001,1,0.139751811331725,0.124539482442737,0.114458605578205,0.123144448315862,0.150076581114835,0.0660337881534924,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","binding","pi_star","percentage points",0.0110803661743425,0.181166960856956,0.14143045679528,0.170398264179555,0.664812397568579,0.94818267511292,0.129093525179856,82.0023703365253,0.563575000000001,0,0.136541389208476,0.12430625179576,0.11153346298786,0.127750508818722,0.149736347741042,0.0620388063174975,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","nonbinding","pi_star","percentage points",-0.00130064260933802,0.185579282829072,0.12116436464149,0.152218448242716,0.679447748388933,0.950990316443132,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0211390614169149,0.0335180518018021,0.0143611289842706,0.0144319715755609,0.0245366205124977,0.0107365829981074,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","nonbinding","pi_star","percentage points",-0.000768728071521045,0.185169028244331,0.120935868422164,0.152180753624924,0.680692272687809,0.951505363504712,0.129093525179856,81.9740626982289,0.129875000000001,1,0.021129037898079,0.0324498026803421,0.0143785935457077,0.0144312387474491,0.0250060510195974,0.0105996324746609,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","nonbinding","pi_star","percentage points",-0.00125913094708293,0.185485847444163,0.121085352871519,0.152603106123363,0.680977307997485,0.951584776563373,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0212381859091212,0.0333091312700467,0.014456079600649,0.014470265997242,0.0249578411192579,0.0107676977777413,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","all","r_star","percentage points",0.00828791725092669,0.19159035879842,0.13277356472277,0.164785993901018,0.677035971223022,0.948302158273381,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0215601544127273,0.0303958093861862,0.0160085052399064,0.0164781735691797,0.0241299993133255,0.0104461465417007,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","all","r_star","percentage points",0.00375064281857276,0.189537676181322,0.131903832838649,0.164949509690761,0.679971223021583,0.949827338129496,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0206030857636639,0.0270596488058152,0.014892270722886,0.0166754339583204,0.0239458545154012,0.00964541782805908,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","all","r_star","percentage points",0.00112444093720333,0.189719610617114,0.131963052157854,0.165372051955205,0.680618705035971,0.950431654676259,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0200192501951814,0.0269156784661305,0.0147608971121198,0.0171109048656031,0.0235399107701727,0.00923709269487682,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","binding","r_star","percentage points",0.0293404216480019,0.207605823393133,0.165178660264659,0.191149376501903,0.661677209657186,0.93646832812916,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.144615372602335,0.126386403984836,0.113749886080487,0.107295676599677,0.154773959617421,0.066490480160401,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","binding","r_star","percentage points",0.00667588272174034,0.200173433059161,0.160005083329634,0.193143000476631,0.684672577758156,0.948212949930416,0.129093525179856,81.9740626982289,0.129875000000001,1,0.147217502407789,0.129818101986831,0.119917524389178,0.107787465309474,0.163131346763454,0.0575468538625967,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","binding","r_star","percentage points",-0.00558393844943284,0.203716018082784,0.162904754776447,0.193745832976691,0.682658249288247,0.94914636983377,0.129093525179856,82.0023703365253,0.563575000000001,0,0.164590455121667,0.146723544828322,0.137976706888855,0.10718734184704,0.168647933383569,0.0530596718595878,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","nonbinding","r_star","percentage points",0.00311889497522605,0.184232866324483,0.127941736823747,0.159983058630459,0.679139690269076,0.950073537673134,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0200132629547943,0.0282062178241533,0.0132358488576897,0.0129931266020458,0.0264476493606106,0.010099206099349,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","nonbinding","r_star","percentage points",0.00078717379379937,0.183752728736442,0.127663967869886,0.15990450890403,0.6801111406125,0.950552597763014,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0202662532709525,0.0276770356586249,0.0130895291040225,0.0129585060969605,0.0265623945186637,0.00991723382740451,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","nonbinding","r_star","percentage points",-0.000982210902204496,0.184201615358592,0.127870376709617,0.160337762673797,0.680461337837803,0.951078313550961,0.129093525179856,82.0023703365253,0.563575000000001,0,0.020538037041082,0.0287352871923001,0.0133420930521112,0.0131318240049311,0.0259956902075688,0.00984201340116111,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","all","shadow_rate","percentage points",0.0568375820735114,0.248249678856218,0.142734379113659,0.14497178364497,0.647244604316547,0.917676258992806,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0880915176892683,0.222544565035586,0.12465326294342,0.119344170177457,0.0374058384447492,0.0340704183799261,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","all","shadow_rate","percentage points",0.0331053357122723,0.208669267816089,0.126094026834788,0.147410219580565,0.671165467625899,0.943179856115108,0.129093525179856,81.9740626982289,0.129875000000001,1,0.08544915005022,0.218257904012665,0.117183237870711,0.119742583779801,0.0235005133727484,0.0142868977775593,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","all","shadow_rate","percentage points",0.000802041153290103,0.214775327960332,0.132702840014896,0.171867283970334,0.692820143884892,0.953021582733813,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0379174328626277,0.190701328664108,0.108512767465957,0.136396777898758,0.0224570112221069,0.00944535712019604,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","binding","shadow_rate","percentage points",0.351383740272197,0.60588435480873,0.459826246120663,0.32529177929551,0.404457037650753,0.640919526692064,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.155077317820994,0.281897251735746,0.198869086299801,0.218966503345953,0.177079100130997,0.184111885207342,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","binding","shadow_rate","percentage points",0.155055703259265,0.462126852173434,0.341149415807353,0.371751758864736,0.610710956736825,0.890886655872368,0.129093525179856,81.9740626982289,0.129875000000001,1,0.18864063264769,0.307189964286523,0.20779576396576,0.204316779393116,0.154627622964258,0.0832470189069348,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","binding","shadow_rate","percentage points",0.0617151451517043,0.474592238659976,0.357008180886295,0.466637254849608,0.709233665442804,0.93811407742392,0.129093525179856,82.0023703365253,0.563575000000001,0,0.139881624481292,0.250129766043498,0.170137456386391,0.192479425748275,0.135862749593959,0.0957845607998064,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","nonbinding","shadow_rate","percentage points",0.0101457645852053,0.126879816216237,0.078360122975992,0.0895165386067538,0.670156815450119,0.941351411508772,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0161660194338083,0.0642116564199604,0.0153368517147889,0.00581498395015396,0.0233887838521803,0.0155277430950043,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","nonbinding","shadow_rate","percentage points",-0.000480578693501352,0.0884137853807,0.0697879094832406,0.087469537148079,0.679912570468317,0.950861062913453,0.129093525179856,81.9740626982289,0.129875000000001,1,0.00421057950713334,0.00667891968112882,0.00305168042256336,0.00234733550628788,0.0194222350290275,0.0096311748566901,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","nonbinding","shadow_rate","percentage points",-0.0102288697491269,0.11529881363698,0.0813507898465081,0.108321451103153,0.69452855118145,0.95497371112305,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0155959782456261,0.0426162943552423,0.0188093995377906,0.0285098923117972,0.0245990164808893,0.0100754905103539,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","all","u","percentage points",-0.00264966368380318,1.4065922891499,1.12172566959777,1.4103407927454,0.68268345323741,0.950223021582734,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0597268562177102,0.0375250019447986,0.0313708751097244,0.000858867935736741,0.017368841231959,0.00857638667179773,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","all","u","percentage points",-0.00181807939284053,1.40639334893446,1.12157883289265,1.41035930108759,0.68263309352518,0.950287769784173,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0595964601871832,0.0374145766237808,0.0313541448322284,0.000872376704059817,0.0171855666948655,0.00849552369006413,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","all","u","percentage points",-0.000610671995799448,1.40642083107049,1.12162122156319,1.41048154222752,0.682719424460432,0.950330935251799,0.129093525179856,82.0023703365253,0.563575000000001,0,0.059385289945909,0.0374519865543796,0.0314354993319861,0.000974192780862809,0.0171233927589922,0.00861132669214592,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","binding","u","percentage points",-0.0709713289061596,1.37850081785771,1.12071544626773,1.41233159808793,0.685873055996157,0.953233981509821,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.453530214359298,0.286579627295931,0.255507688594873,0.00812341561018895,0.134818420420151,0.0560114686199206,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","binding","u","percentage points",-0.0573333180529799,1.37733275748697,1.11924171924096,1.41254818043689,0.684437081983743,0.954429995389902,0.129093525179856,81.9740626982289,0.129875000000001,1,0.455163292755104,0.287668562190983,0.255976789680118,0.00814371128082944,0.13624819037658,0.0520182627231601,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","binding","u","percentage points",-0.0554284979442301,1.37716351226763,1.11881575003459,1.41307429770893,0.687695841461614,0.955533845062102,0.129093525179856,82.0023703365253,0.563575000000001,0,0.454680188710394,0.287709463357183,0.254641194936745,0.00844955722636635,0.136266600561446,0.0514670550978116,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","nonbinding","u","percentage points",0.00296779455103968,1.40765132376155,1.12223894505777,1.40996402563038,0.682675420671383,0.950049400787314,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0640155615141913,0.0435341054133982,0.0358369533665154,0.00111368986126505,0.0187268784200371,0.00976472195759048,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","nonbinding","u","percentage points",0.00271598336804484,1.40752480870757,1.12218291828528,1.40995634979185,0.682456445352469,0.950030696120674,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0641649121577398,0.0434477760069168,0.0359166118271619,0.00111205896447291,0.0185845428046327,0.00981904176219109,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","nonbinding","u","percentage points",0.00352227228306568,1.40764185746601,1.12227365687479,1.41004851960344,0.682472447081837,0.94999058628647,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0641099429998675,0.0435463433033682,0.0360268073824875,0.00112655411803097,0.0184985308124714,0.00979189759516667,0.173159337826291,0.612345704318629,0.0416542887812196,0
