"regime","series","unit","filter_ekf","bias_ekf","rmse_ekf","mae_ekf","average_sd_ekf","coverage_68_ekf","coverage_95_ekf","binding_fraction_ekf","loglik_per_month_ekf","runtime_seconds_ekf","iteration_fraction_ekf","bias_mc_sd_ekf","rmse_mc_sd_ekf","mae_mc_sd_ekf","average_sd_mc_sd_ekf","coverage_68_mc_sd_ekf","coverage_95_mc_sd_ekf","binding_fraction_mc_sd_ekf","loglik_per_month_mc_sd_ekf","runtime_seconds_mc_sd_ekf","iteration_fraction_mc_sd_ekf","filter_ukf","bias_ukf","rmse_ukf","mae_ukf","average_sd_ukf","coverage_68_ukf","coverage_95_ukf","binding_fraction_ukf","loglik_per_month_ukf","runtime_seconds_ukf","iteration_fraction_ukf","bias_mc_sd_ukf","rmse_mc_sd_ukf","mae_mc_sd_ukf","average_sd_mc_sd_ukf","coverage_68_mc_sd_ukf","coverage_95_mc_sd_ukf","binding_fraction_mc_sd_ukf","loglik_per_month_mc_sd_ukf","runtime_seconds_mc_sd_ukf","iteration_fraction_mc_sd_ukf","rmse_ratio_ukf_to_ekf","coverage_95_difference","loglik_difference_per_month"
"binding","r_star","percentage points","EKF",0.0293404216480019,0.207605823393133,0.165178660264659,0.191149376501903,0.661677209657186,0.93646832812916,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.144615372602335,0.126386403984836,0.113749886080487,0.107295676599677,0.154773959617421,0.066490480160401,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.00558393844943284,0.203716018082784,0.162904754776447,0.193745832976691,0.682658249288247,0.94914636983377,0.129093525179856,82.0023703365253,0.563575000000001,0,0.164590455121667,0.146723544828322,0.137976706888855,0.10718734184704,0.168647933383569,0.0530596718595878,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.981263505778532,0.01267804170461,0.0272108401494364
"binding","shadow_rate","percentage points","EKF",0.351383740272197,0.60588435480873,0.459826246120663,0.32529177929551,0.404457037650753,0.640919526692064,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.155077317820994,0.281897251735746,0.198869086299801,0.218966503345953,0.177079100130997,0.184111885207342,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.0617151451517043,0.474592238659976,0.357008180886295,0.466637254849608,0.709233665442804,0.93811407742392,0.129093525179856,82.0023703365253,0.563575000000001,0,0.139881624481292,0.250129766043498,0.170137456386391,0.192479425748275,0.135862749593959,0.0957845607998064,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.78330499028944,0.297194550731857,0.0272108401494364
"binding","u","percentage points","EKF",-0.0709713289061596,1.37850081785771,1.12071544626773,1.41233159808793,0.685873055996157,0.953233981509821,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.453530214359298,0.286579627295931,0.255507688594873,0.00812341561018895,0.134818420420151,0.0560114686199206,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.0554284979442301,1.37716351226763,1.11881575003459,1.41307429770893,0.687695841461614,0.955533845062102,0.129093525179856,82.0023703365253,0.563575000000001,0,0.454680188710394,0.287709463357183,0.254641194936745,0.00844955722636635,0.136266600561446,0.0514670550978116,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.999029884079316,0.0022998635522814,0.0272108401494364
"binding","w","normalized units","EKF",-0.169989418966151,0.396601848912743,0.312847180255076,0.294357134299806,0.537353632267012,0.838977308639758,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.120655468779286,0.140425420894142,0.10389265487049,0.0970530976743257,0.163728089550792,0.125115986399056,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.026749639709909,0.344515088138527,0.273024926714593,0.336645736913057,0.677867739664533,0.944278491505297,0.129093525179856,82.0023703365253,0.563575000000001,0,0.128467880381881,0.12915200706572,0.0987018858728577,0.0867566544926913,0.145526558401606,0.0877216398390197,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.868667377832432,0.105301182865538,0.0272108401494364
"nonbinding","m","percentage points","EKF",0.0083275122193173,0.129146590007201,0.0849394367939732,0.0976508897745163,0.668957080679628,0.939435228218351,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0140131059423979,0.0599176568687791,0.0194154105021751,0.0110207007480447,0.0228057360232282,0.0166111813505362,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.0079875278998395,0.116429160439955,0.0852876306244931,0.112290428912967,0.69456013711939,0.954190437744066,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0147344172808578,0.0397302790423233,0.0194907628897846,0.029137692919688,0.0235018856112542,0.0101030653983947,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.901527174921638,0.0147552095257154,0.0272108401494364
"nonbinding","pi_gap","percentage points","EKF",-0.00467558935574564,0.970729612007465,0.773786282360835,0.966237684165505,0.678522621004689,0.949171656788342,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.082561549557774,0.0396876078792756,0.0318355801684409,0.00831595468317744,0.0228386157932327,0.0118012616088622,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.00614865861833597,0.969986329256329,0.773230561080849,0.966852254618048,0.678815631776065,0.949742483846991,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0817764498642784,0.0396840090928285,0.0319407399794271,0.00850944205073235,0.0225707138754189,0.0118257601576837,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.999234305060913,0.000570827058648748,0.0272108401494364
"nonbinding","pi_star","percentage points","EKF",-0.00130064260933802,0.185579282829072,0.12116436464149,0.152218448242716,0.679447748388933,0.950990316443132,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0211390614169149,0.0335180518018021,0.0143611289842706,0.0144319715755609,0.0245366205124977,0.0107365829981074,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.00125913094708293,0.185485847444163,0.121085352871519,0.152603106123363,0.680977307997485,0.951584776563373,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0212381859091212,0.0333091312700467,0.014456079600649,0.014470265997242,0.0249578411192579,0.0107676977777413,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.99949652039018,0.000594460120241003,0.0272108401494364
"nonbinding","r_star","percentage points","EKF",0.00311889497522605,0.184232866324483,0.127941736823747,0.159983058630459,0.679139690269076,0.950073537673134,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0200132629547943,0.0282062178241533,0.0132358488576897,0.0129931266020458,0.0264476493606106,0.010099206099349,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.000982210902204496,0.184201615358592,0.127870376709617,0.160337762673797,0.680461337837803,0.951078313550961,0.129093525179856,82.0023703365253,0.563575000000001,0,0.020538037041082,0.0287352871923001,0.0133420930521112,0.0131318240049311,0.0259956902075688,0.00984201340116111,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.999830372470913,0.00100477587782655,0.0272108401494364
"nonbinding","shadow_rate","percentage points","EKF",0.0101457645852053,0.126879816216237,0.078360122975992,0.0895165386067538,0.670156815450119,0.941351411508772,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0161660194338083,0.0642116564199604,0.0153368517147889,0.00581498395015396,0.0233887838521803,0.0155277430950043,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.0102288697491269,0.11529881363698,0.0813507898465081,0.108321451103153,0.69452855118145,0.95497371112305,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0155959782456261,0.0426162943552423,0.0188093995377906,0.0285098923117972,0.0245990164808893,0.0100754905103539,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.908724626779718,0.0136222996142789,0.0272108401494364
"nonbinding","u","percentage points","EKF",0.00296779455103968,1.40765132376155,1.12223894505777,1.40996402563038,0.682675420671383,0.950049400787314,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0640155615141913,0.0435341054133982,0.0358369533665154,0.00111368986126505,0.0187268784200371,0.00976472195759048,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.00352227228306568,1.40764185746601,1.12227365687479,1.41004851960344,0.682472447081837,0.94999058628647,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0641099429998675,0.0435463433033682,0.0360268073824875,0.00112655411803097,0.0184985308124714,0.00979189759516667,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.999993275113394,-5.88145008446617e-05,0.0272108401494364
"nonbinding","w","normalized units","EKF",0.00289144463687871,0.172649658116331,0.134287129420857,0.163828313754132,0.673516235967385,0.944759616044452,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0118382641739545,0.0233266951402075,0.0145957773973164,0.0117838773660693,0.023113955364232,0.0116750160443528,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.00667778337291149,0.170537816568719,0.133916913810824,0.169611786813432,0.684916801204504,0.951078364548497,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0130747663053922,0.021738517701944,0.0141496967780488,0.0184982271963906,0.0210464873938095,0.00982643179362955,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.98776805253684,0.00631874850404412,0.0272108401494364
